album_name,artist_name,published,url,tag
The Search,NF,"03 Mar 2022, 14:41",https://www.last.fm/music/NF/The+Search,"['rap', 'hip-hop', '2019', '2010s', 'emotional rap']"
BRY,Bry,,https://www.last.fm/music/Bry/BRY,"['rock', 'indie', 'indie rock', 'irish', 'ireland']"
Enfant lune,Gringe,,https://www.last.fm/music/Gringe/Enfant+lune,"['rap', 'france', 'french rap']"
A Star Is Born Soundtrack,Lady Gaga,"12 Dec 2021, 18:09",https://www.last.fm/music/Lady+Gaga/A+Star+Is+Born+Soundtrack,"['lady gaga', '2018', 'rock', 'country', 'soundtrack']"
The Marshall Mathers LP,Eminem,"10 Oct 2022, 22:53",https://www.last.fm/music/Eminem/The+Marshall+Mathers+LP,"['rap', 'hip-hop', 'eminem', 'hip hop', '00s']"
The Marshall Mathers LP2 (Deluxe),Eminem,"10 Oct 2022, 22:50",https://www.last.fm/music/Eminem/The+Marshall+Mathers+LP2+(Deluxe),"['rap', 'hip-hop', 'hip hop', 'pop', 'eminem']"
SHADYXV,Eminem,"10 Oct 2022, 14:30",https://www.last.fm/music/Eminem/SHADYXV,"['rap', 'sia', 'eminem', 'hip-hop', 'soa']"
Holy Wood,Marilyn Manson,"03 Mar 2020, 03:34",https://www.last.fm/music/Marilyn+Manson/Holy+Wood,"['industrial metal', 'industrial', 'metal', 'rock', 'marilyn manson']"
Lest We Forget - The Best Of,Marilyn Manson,,https://www.last.fm/music/Marilyn+Manson/Lest+We+Forget+-+The+Best+Of,"['industrial metal', 'industrial', 'metal', 'rock', 'cover']"
Smells Like Children,Marilyn Manson,"07 Jul 2022, 17:27",https://www.last.fm/music/Marilyn+Manson/Smells+Like+Children,"['industrial metal', 'industrial rock', '1995', 'alternative metal', 'metal']"
City of Evil,Avenged Sevenfold,"07 Jul 2020, 13:42",https://www.last.fm/music/Avenged+Sevenfold/City+of+Evil,"['metal', 'metalcore', 'hard rock', 'rock', 'heavy metal']"
Nightmare,Avenged Sevenfold,"12 Dec 2019, 22:33",https://www.last.fm/music/Avenged+Sevenfold/Nightmare,"['hard rock', '2010', 'heavy metal', 'metal', 'metalcore']"
Supermodel,Foster the People,"10 Oct 2015, 20:37",https://www.last.fm/music/Foster+the+People/Supermodel,"['2014', 'indie', 'indie pop', 'best of 2014', 'indie rock']"
Torches,Foster the People,"02 Feb 2022, 06:07",https://www.last.fm/music/Foster+the+People/Torches,"['indie pop', '2011', 'indie', 'best of 2011', 'alternative']"
Sacred Hearts Club,Foster the People,"02 Feb 2022, 15:03",https://www.last.fm/music/Foster+the+People/Sacred+Hearts+Club,"['2017', 'electronic', 'indie', 'rock', 'pop']"
III,Foster the People,"04 Apr 2017, 18:10",https://www.last.fm/music/Foster+the+People/III,"['indie pop', 'indie', 'indie rock', 'rock', 'pop']"
Torches X,Foster the People,,https://www.last.fm/music/Foster+the+People/Torches+X,"['indie', 'indie pop', 'indie rock', 'alternative', 'electronic']"
Joy as an Act of Resistance.,IDLES,"06 Jun 2021, 13:48",https://www.last.fm/music/IDLES/Joy+as+an+Act+of+Resistance.,"['2018', 'post-punk', 'crank wave', 'noise rock', 'punk']"
Heart-Shaped Box - Single,Dead Sara,,https://www.last.fm/music/Dead+Sara/Heart-Shaped+Box+-+Single,"['cover', 'grunge', 'hard rock', 'covers', 'cover songs']"
OK Computer,Radiohead,"11 Nov 2022, 15:31",https://www.last.fm/music/Radiohead/OK+Computer,"['alternative rock', 'alternative', '1997', 'favourite albums', 'rock']"
The Misfits Box Set,Misfits,,https://www.last.fm/music/Misfits/The+Misfits+Box+Set,"['horror punk', 'punk', 'punk rock', 'misfits', '80s']"
Ogdens' Nut Gone Flake - 50th Anniversary Edition (2018 Remaster),Small Faces,,https://www.last.fm/music/Small+Faces/Ogdens%27+Nut+Gone+Flake+-+50th+Anniversary+Edition+(2018+Remaster),"['60s', 'mod', 'classic rock', 'psychedelic', 'rock']"
Are You Dead Yet?,Children of Bodom,"05 May 2009, 21:18",https://www.last.fm/music/Children+of+Bodom/Are+You+Dead+Yet%3F,"['melodic death metal', 'death metal', 'metal', 'thrash metal', '2005']"
Songs From The Big Chair (Super Deluxe Edition),Tears for Fears,,https://www.last.fm/music/Tears+for+Fears/Songs+From+The+Big+Chair+(Super+Deluxe+Edition),"['80s', 'new wave', 'pop', 'tears for fears', 'rock']"
